,x1,macro_plot_name,monitoring_status,date_x,tag_no,status_x,dbh_x,ht,crwn_rto,crwn_cl,li_cr_b_ht,crwn_rad,decay_cl,char_ht,scorch_ht,cr_sc_pct,comment_x,uv1,uv2,species_symbol,year,treatment,treatment_burn,experiment,date_y,species,status_y,top_kill_y_n,dbh_y,crown_ratio,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,resprout_count,comment_y,experiment_resprout
39,39,_190,PreBurn,8/28/2021 12:20,226,L,14.55,7,90,I,0.2,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,_190,PreBurn,8/28/2021 12:20,227,L,16.5,7.4,90,I,0.2,2.25,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,41,_190,PreBurn,8/28/2021 12:20,228,L,8.95,5.4,70,I,0.8,2.2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,42,_190,PreBurn,8/28/2021 12:20,229,L,8.55,5.5,70,I,0,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,_190,PreBurn,8/28/2021 12:20,230,L,9.8,4.1,90,I,0.2,1.15,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,44,_190,PreBurn,8/28/2021 12:20,231,L,12.3,6.2,80,C,0.6,1.9,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,45,_190,PreBurn,8/28/2021 12:20,232,L,9.85,6.2,80,C,1.4,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,46,_190,PreBurn,8/28/2021 12:20,236,L,8,6.1,60,I,1,1.55,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,47,_190,PreBurn,8/28/2021 12:20,238,L,45.05,13.6,100,C,0,3.7,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,71,_191,PreBurn,8/28/2021 12:20,240,L,14.25,7.9,100,I,0.7,3,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,72,_191,PreBurn,8/28/2021 12:20,241,L,12.3,6,100,I,0.6,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
