MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_170,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_170,PostBurnYear1,2022,975,QUKE,L,N,51.7,9.8,40,I,2.5,2.25,,0,2.5,10,,N,N,,,,
_170,PostBurnYear1,2022,976,PIJE,L,N,37.3,17.4,70,C,7.5,3,,7,4.8,30,,N,N,,,,
_170,PostBurnYear1,2022,977,QUKE,D,N,41.85,6.5,,,,,1,3,6.5,100,,N,N,,,,
_170,PostBurnYear1,2022,978,PIJE,L,N,11.05,5.8,90,S,2,1,,0.2,2.2,5,,N,N,,,,
_170,PostBurnYear1,2022,979,QUKE,L,N,57,16.4,90,C,1.5,5,,0,4.1,5,,N,N,,,,
_170,PostBurnYear1,2022,980,QUKE,L,N,72.4,16.5,100,C,0.8,5.5,,0,2.8,2,,N,N,,,,
_170,PostBurnYear1,2022,981,QUKE,L,N,85.75,16.6,100,C,1.4,6.5,,0,4,2,,N,N,,,,
_171,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_171,PostBurnYear1,2022,51,QUKE,D,N,61.5,2.5,,,,,5,0.86,,,,N,N,,,,
_171,PostBurnYear1,2022,52,QUKE,L,N,59.9,16.6,100,C,0.5,3.5,,1.35,2.5,3,,N,N,,,,
_171,PostBurnYear1,2022,53,QUKE,L,N,13.6,7,100,I,0.4,2.75,,0,0,0,,N,N,,,,
_171,PostBurnYear1,2022,56,QUKE,L,N,46.6,10.5,90,I,0.3,6,,0,1.5,5,,N,N,,,,
_171,PostBurnYear1,2022,59,QUKE,L,N,40.2,13.2,100,C,0.5,4.5,,0,3,5,,N,N,,,,
_171,PostBurnYear1,2022,60,QUKE,L,N,44.65,12.2,90,C,1,4.75,,0,6,10,,N,N,,,,
_171,PostBurnYear1,2022,61,PIJE,D,N,21.25,7.6,,,,,1,0.5,7.6,95,,N,N,,,,
_171,PostBurnYear1,2022,62,PIJE,L,N,14.05,6.5,10,S,6,0.5,,0,6,90,,N,N,,,,
_172,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_172,PostBurnYear1,2022,117,QUKE,L,N,58.85,12,70,C,2.2,5,,0.6,3.8,3,,N,N,,,,
_172,PostBurnYear1,2022,118,QUKE,L,N,51.15,9.6,70,I,5.2,3,,0.8,2,20,,N,N,,,,
_172,PostBurnYear1,2022,119,PIJE,D,N,,,,,,,,,,,,N,N,,,,
_172,PostBurnYear1,2022,120,PIJE,L,N,43.6,15,90,D,8,3,,3.4,0,0,,N,N,,,,
_172,PostBurnYear1,2022,122,PIJE,L,N,45.6,16.4,100,C,9.8,2,,5.2,8.8,5,,N,N,,,,
_172,PostBurnYear1,2022,123,QUKE,L,N,47.55,11.6,80,I,4,2.5,,0.68,4,8,,N,N,,,,
_172,PostBurnYear1,2022,124,QUKE,D,Y,54.65,2,,,,,1,2,,,,N,Y,210,50,1,
_172,PostBurnYear1,2022,125,PIJE,D,N,22.6,3.9,,,,,3,0.45,,,,N,N,,,,
_172,PostBurnYear1,2022,126,QUKE,L,N,46.9,10.8,90,I,4.5,3,,0.2,5.8,5,,N,N,,,,
_173,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_173,PostBurnYear1,2022,22,QUKE,L,N,42.55,6.4,60,I,4,6.5,,0,4,40,,Y,N,,,,
_173,PostBurnYear1,2022,23,QUKE,L,N,33.8,9.4,40,I,4.2,3.5,,0,4.2,60,,Y,N,,,,
_173,PostBurnYear1,2022,25,QUKE,L,N,33.6,12.4,60,C,5,6,,0,5,40,,Y,N,,,,
_173,PostBurnYear1,2022,26,QUKE,L,N,32.6,12.3,40,C,4,6,,0,4,60,,Y,N,,,,
_173,PostBurnYear1,2022,27,QUKE,L,N,33.95,12.5,60,C,6.5,6.5,,0,10.4,40,,Y,N,,,,
_173,PostBurnYear1,2022,28,QUKE,L,N,39.35,12.4,90,C,1.4,4.5,,0,2.5,10,,N,N,,,,
_173,PostBurnYear1,2022,29,QUKE,L,N,39.5,9,90,I,2,3.5,,0.85,3,5,,N,N,,,,
_173,PostBurnYear1,2022,30,QUKE,D,N,,,,,,,,0,,,,N,N,,,,Gone.
_173,PostBurnYear1,2022,31,PIJE,L,N,21.2,4.8,50,I,,1.5,,0.6,2.5,50,,N,N,,,,
_173,PostBurnYear1,2022,32,PIJE,D,N,11.25,2,,,,,1,0.84,2,100,,N,N,,,,
_173,PostBurnYear1,2022,33,QUKE,D,Y,47.2,2.1,,,,,1,2.02,,,,N,Y,48,53.5,12,
_173,PostBurnYear1,2022,34,QUKE,D,N,,,,,,,,0,,,,N,N,,,,Gone.
_173,PostBurnYear1,2022,35,PIJE,L,N,14.8,7,30,I,3.5,0.75,,1.48,3.5,69,,N,N,,,,
