"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","SnagPlotSize","BrkPntDia","Species.Symbol","X"
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",874,"D",47.94,11.2,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",875,"L",54.65,10.5,30,"I",3.5,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0,1.8,NA,NA,"QUKE",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",877,"L",51.5,14.2,60,"C",0.3,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0,2.5,NA,NA,"QUKE",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",878,"L",36.05,14.5,80,"C",6.2,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.7,4.2,NA,NA,"PIJE",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",879,"L",7.8,5.5,100,"S",1.45,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.3,3.8,NA,NA,"QUKE",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",882,"L",53,12,50,"C",1.4,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",0.2,0.2,NA,NA,"QUKE",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",883,"L",66.65,11.8,70,"C",3.2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0,0.4,NA,NA,"QUKE",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",884,"L",18.9,7.4,60,"S",4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",0.7,2.5,NA,NA,"PIJE",NA
"_148","PreBurnYear1","9/17/2020 9:00:29 AM",885,"L",36.1,15.9,70,"C",5.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERCO_SL",0.1,0.4,NA,NA,"PIJE",NA
"_149","PreBurnYear1","9/17/2020 9:00:29 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_149","PreBurnYear1","9/17/2020 9:00:29 AM",801,"L",37.9,14,90,"C",8.6,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0,4.2,NA,NA,"PIJE",NA
"_149","PreBurnYear1","9/17/2020 9:00:29 AM",802,"L",22.1,9.4,80,"I",8.4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0,2.1,NA,NA,"PIJE",NA
"_149","PreBurnYear1","9/17/2020 9:00:29 AM",803,"L",38.7,10.2,60,"I",2.6,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.3,1,NA,NA,"QUKE",NA
"_149","PreBurnYear1","9/17/2020 9:00:29 AM",804,"L",35.05,11.4,70,"I",3,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERCO_SL",0.5,1,NA,NA,"QUKE",NA
"_149","PreBurnYear1","9/17/2020 9:00:29 AM",805,"L",29.75,10.2,70,"I",4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERCO_SL",0.5,1.5,NA,NA,"QUKE",NA
