MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,crown ratio,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_128,PostBurnYear2,2022,,,,,,,,,,,,
_128,PostBurnYear2,2022,652,PIJE,L,N,64.1,90,N,N,,,,
_128,PostBurnYear2,2022,653,PIJE,L,N,53.6,90,N,N,,,,
_128,PostBurnYear2,2022,655,PIJE,L,N,39.4,70,N,N,,,,
_128,PostBurnYear2,2022,657,PIJE,L,N,63.35,80,N,N,,,,
_128,PostBurnYear2,2022,663,QUKE,D,N,,,N,N,,,,Tree is gone
_128,PostBurnYear2,2022,664,QUKE,D,N,,,N,N,,,,Tree is gone
_128,PostBurnYear2,2022,668,PIJE,L,N,44.4,90,N,N,,,,
_128,PostBurnYear2,2022,670,PIJE,D,N,11.2,,N,N,,,,
_129,PostBurnYear2,2022,,,,,,,,,,,,
_129,PostBurnYear2,2022,605,PIJE,L,N,55.8,100,N,N,,,,
_129,PostBurnYear2,2022,606,PIJE,L,N,17.35,100,N,N,,,,
_129,PostBurnYear2,2022,608,PIJE,L,N,48,100,N,N,,,,
_129,PostBurnYear2,2022,609,PIJE,L,N,53,100,N,N,,,,
_129,PostBurnYear2,2022,610,QUKE,L,N,82.65,100,N,N,,,,
_129,PostBurnYear2,2022,612,PIJE,L,N,68.5,100,N,N,,,,
_129,PostBurnYear2,2022,614,QUKE,L,N,9.05,100,N,N,,,,
_129,PostBurnYear2,2022,615,QUKE,L,N,8.4,100,N,N,,,,
_129,PostBurnYear2,2022,617,PIJE,L,N,57.1,100,N,N,,,,
_129,PostBurnYear2,2022,622,QUKE,L,N,10.4,100,Y,N,,,,
_129,PostBurnYear2,2022,623,QUKE,D,N,79.5,,N,N,,,,
_129,PostBurnYear2,2022,624,QUKE,D,N,,,N,N,,,,
_130,PostBurnYear2,2022,,,,,,,,,,,,
_130,PostBurnYear2,2022,637,PIJE,L,N,31.35,90,N,N,,,,
_130,PostBurnYear2,2022,638,PIJE,L,N,51.6,100,N,N,,,,
_130,PostBurnYear2,2022,648,PIJE,L,N,45.55,100,N,N,,,,
_130,PostBurnYear2,2022,640,PIJE,L,N,46.2,100,N,N,,,,
_130,PostBurnYear2,2022,641,PIJE,L,N,56.35,50,N,N,,,,
_130,PostBurnYear2,2022,642,PIJE,D,N,79.45,,N,N,,,,
_130,PostBurnYear2,2022,643,PIJE,L,N,23.95,80,N,N,,,,
_130,PostBurnYear2,2022,644,QUKE,L,N,22.6,50,Y,N,,,,
_130,PostBurnYear2,2022,645,QUKE,L,N,28.3,90,Y,N,,,,
_130,PostBurnYear2,2022,646,QUKE,L,N,30,100,N,N,,,,
_130,PostBurnYear2,2022,647,QUKE,L,N,33.5,100,N,N,,,,
_130,PostBurnYear2,2022,649,PIJE,L,N,46.6,100,N,N,,,,
_131,PostBurnYear2,2022,,,,,,,,,,,,
_131,PostBurnYear2,2022,674,QUKE,D,Y,36.2,,N,Y,200,275,127,
_131,PostBurnYear2,2022,675,QUKE,D,Y,42,,N,Y,200,275,127,
_131,PostBurnYear2,2022,676,PIJE,D,N,,,N,N,,,,Fallen; cut-down.
_131,PostBurnYear2,2022,677,PIJE,L,N,37.45,30,N,N,,,,New tag 965
_131,PostBurnYear2,2022,678,PIJE,D,N,19.7,,N,N,,,,New tag 966
_131,PostBurnYear2,2022,679,PIJE,D,N,61.1,,N,N,,,,New tag967
_131,PostBurnYear2,2022,680,QUKE,D,Y,41.4,,N,Y,200,350,91,
_132,PostBurnYear2,2022,,,,,,,,,,,,
_132,PostBurnYear2,2022,626,PIJE,D,N,16.9,,N,N,,,,
_132,PostBurnYear2,2022,628,PIJE,L,N,72,60,N,N,,,,
_132,PostBurnYear2,2022,630,PIJE,L,N,70.15,80,N,N,,,,New tag 968
_133,PostBurnYear2,2022,,,,,,,,,,,,
_133,PostBurnYear2,2022,682,QUKE,L,N,68.6,100,N,N,,,,
_133,PostBurnYear2,2022,683,QUKE,L,N,39.1,100,N,N,,,,
_133,PostBurnYear2,2022,684,QUKE,D,Y,9.5,,N,Y,104,180,51,
_133,PostBurnYear2,2022,685,QUKE,D,Y,8.2,,N,Y,104,180,51,
_133,PostBurnYear2,2022,687,PIJE,D,N,84.55,,N,N,,,,
_133,PostBurnYear2,2022,688,PIJE,L,N,76.3,100,N,N,,,,
_134,PostBurnYear2,2022,,,,,,,,,,,,
_134,PostBurnYear2,2022,740,PIJE,L,N,36.1,50,N,N,,,,New tag 880
_134,PostBurnYear2,2022,741,QUKE,D,N,,,N,N,,,,Gone. 
_134,PostBurnYear2,2022,743,QUKE,L,N,39.45,70,Y,Y,67,55,6,
_134,PostBurnYear2,2022,744,QUKE,L,N,83.2,80,Y,Y,117,130,26,
_134,PostBurnYear2,2022,745,PIJE,D,N,14.3,,N,N,,,,
_134,PostBurnYear2,2022,747,PIJE,L,N,41.3,50,N,N,,,,
_134,PostBurnYear2,2022,754,PIJE,L,N,57.6,80,N,N,,,,
_134,PostBurnYear2,2022,755,PIJE,L,N,46.75,90,N,N,,,,
_134,PostBurnYear2,2022,756,PIJE,L,N,56.2,90,N,N,,,,New tag 881
_134,PostBurnYear2,2022,757,PIJE,L,N,58.65,70,N,N,,,,New tag 879
_135,PostBurnYear2,2022,,,,,,,,,,,,
_135,PostBurnYear2,2022,725,QUKE,L,N,89.9,80,Y,Y,44,29,2,
_135,PostBurnYear2,2022,726,PIJE,L,N,79.4,100,N,N,,,,New Tag 878
_135,PostBurnYear2,2022,730,PIJE,L,N,61.1,100,N,N,,,,
_135,PostBurnYear2,2022,731,QUKE,D,Y,23.7,,N,Y,130,145,13,
_135,PostBurnYear2,2022,732,QUKE,D,N,,,N,N,,,,
_135,PostBurnYear2,2022,733,QUKE,D,Y,11.5,,N,Y,130,145,13,same base as 731. 2021 does not have 733 resprout!
