plot #,Tag #,Species ,Status,Date,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Distance to woody indv. (m),Lifeform code for woody neighbor,Distance to CWD (m),Comment
_170,,,,2021,,,,,,,,,,,,,,
_170,975,QUKE,L,2021,9.8,40,I,1,3.5,,0,,,,0,ROCA-SM,0,
_170,976,PIJE,L,2021,13.4,100,C,3.5,2.25,,1.7,,,,1.5,QUKE-TOV,0.3,
_170,977,QUKE,L,2021,6.5,80,S,0.5,3,,1.2,,,,1.5,PIJE-TOV,0.1,
_170,978,PIJE,L,2021,5.5,100,S,0.9,0.9,,0.2,,,,1,QUKE-TOV,2.2,
_170,979,QUKE,L,2021,16.2,100,C,2.6,5.25,,0,,,,0,QUKE-TOV,1.5,
_170,980,QUKE,L,2021,16.3,100,C,0.8,6,,0,,,,0,QUKE-TOV,1,
_170,981,QUKE,L,2021,16.6,100,C,1.4,5.5,,0,,,,0,QUKE-TOV,1,
_171,,,,2021,,,,,,,,,,,,,,
_171,51,QUKE,D,2021,2.5,,,,,5,0.9,,,,0,QUKE-TOV,0.4,
_171,52,QUKE,L,2021,16.4,100,C,0.7,5.5,,1.2,,,,0,QUKE-DTOV,0.4,
_171,53,QUKE,L,2021,6.9,100,I,1,2.8,,0,,,,5,QUKE-TOV,4.5,
_171,56,QUKE,L,2021,10.2,100,I,0.8,4,,0,,,,0,QUKE-TOV,10,
_171,59,QUKE,L,2021,13,100,C,2,4.5,,0,,,,0,QUKE-TOV,10,
_171,60,QUKE,L,2021,12.2,100,C,1,4,,0,,,,0,QUKE-TOV,10,
_171,61,PIJE,L,2021,7.5,100,I,0.7,1.6,,0,,,,1,QUKE-DTOV,8,
_171,62,PIJE,L,2021,6.5,100,S,1.4,1,,0,,,,1,QUKE-TOV,5,
_172,,,,2021,,,,,,,,,,,,,,
_172,117,QUKE,L,2021,11.2,80,C,2.5,5.25,,0,,,,0,SYMO-SL,4,
_172,118,QUKE,L,2021,9.2,90,I,2.9,3.75,,1.8,,,,0,SYMO-SL,7.5,
_172,119,PIJE,D,2021,3,,,,,2,0,,,,0,SYMO-SL,3,
_172,120,PIJE,L,2021,15,80,D,8,2.75,,0.6,,,,0,SYMO-SL,1,
_172,122,PIJE,L,2021,16.2,100,C,7.8,2.5,,4,,,,0,SYMO-SL,0.3,
_172,123,QUKE,L,2021,9.8,100,I,4,3.5,,1,,,,0,SYMO-SL,0.7,
_172,124,QUKE,L,2021,9.9,100,I,4.3,3.6,,0,,,,0,SYMO-SL,0.3,
_172,125,PIJE,D,2021,7.6,,,,,2,0.3,,,,0,SYMO-SL,0.5,
_172,126,QUKE,L,2021,10.4,100,I,1.8,4,,0,,,,0,SYMO-SL,4.5,
_173,,,,2021,,,,,,,,,,,,,,
_173,22,QUKE,L,2021,6.9,90,I,1,4,,0,,,,0,QUKE-TOV,1.7,
_173,23,QUKE,L,2021,9,90,I,1.2,3.25,,0,,,,0,QUKE-TOV,1.7,
_173,25,QUKE,L,2021,12.4,100,C,1,4.1,,0,,,,0,QUKE-TOV,1.4,
_173,26,QUKE,L,2021,12.3,100,C,1.3,4,,0,,,,0,QUKE-TOV,1.4,
_173,27,QUKE,L,2021,12.5,100,C,1.4,4,,0,,,,0,QUKE-TOV,1.4,
_173,28,QUKE,L,2021,12.4,100,C,1,4.6,,0,,,,0,QUKE-TOV,1.4,
_173,29,QUKE,L,2021,8.4,100,I,0.8,3.75,,0,,,,0.4,QUKE-DTOV,1.5,
_173,30,QUKE,D,2021,2.8,,,,,5,0,,,,0.4,QUKE-TOV,1.5,
_173,31,PIJE,L,2021,4.5,80,I,0.4,0.75,,0,,,,0.3,CEPA-ST,0.3,
_173,32,PIJE,L,2021,4.3,80,S,2.1,0.6,,0,,,,0.95,QUKE-TSE,1,
_173,33,QUKE,L,2021,8.5,70,C,1.8,3.5,,0,,,,0,QUKE-DTOV,0.5,
_173,34,QUKE,D,2021,2.8,,,,,2,2.5,,,,0,QUKE-TOV,0.5,
_173,35,PIJE,L,2021,7,90,S,1.4,1.75,,0,,,,0,QUKE-TOV,2.5,
_173,36,QUKE,L,2021,8.5,90,C,1.4,4.5,,0,,,,0,PIJE-TOV,5,
_173,37,PIJE,L,2021,6.1,100,I,0.4,1.6,,0,,,,0.3,CEPA-SM,0.1,
_175,,,,2021,,,,,,,,,,,,,,
_175,41,QUKE,L,2021,11.6,60,I,1.2,5.75,,0,,,,0,QUKE-TOV,0.4,
_175,42,QUKE,L,2021,5.8,30,I,1.4,5,,0,,,,0,QUKE-TOV,0.4,
_175,45,PIJE,L,2021,7.6,100,S,1.8,0.9,,0,,,,0,QUKE-TOV,1.2,
_175,46,QUKE,L,2021,10.2,100,C,0.8,2.75,,0,,,,0,QUKE-TOV,2.2,
_175,47,QUKE,L,2021,12.6,90,C,1.6,4,,0,,,,0,QUKE-TOV,2.2,
_175,48,QUKE,L,2021,9,100,I,2,3.9,,0,,,,0.3,SYMO-SL,0.1,
_175,49,QUKE,L,2021,13.2,90,C,2,4.5,,0,,,,0,QUKE-TOV,1,
_175,50,QUKE,L,2021,13,100,C,2.4,3.9,,0,,,,0,QUKE-TOV,1,
_176,,,,2021,,,,,,,,,,,,,,
_176,76,QUKE,L,2021,6.2,80,S,2.2,2.9,,0,,,,0.3,QUKE-TOV,0,
_176,77,QUKE,L,2021,11.1,90,C,0.5,4.6,,0,,,,0.3,QUKE-TOV,0,
_176,79,PIJE,L,2021,7.8,100,I,2,2.6,,0,,,,2,CEPA-ST,3,
_176,80,QUKE,L,2021,6.3,100,I,1.2,2.75,,0,,,,2.5,CEPA-ST,1.8,
_176,81,QUKE,L,2021,6.3,90,I,1.4,1.9,,0,,,,0,CEPA-ST,2,
_176,83,QUKE,L,2021,6.2,100,I,1,3.6,,0,,,,0,CEPA-ST,0,
_176,84,PIJE,L,2021,14,100,C,1.4,1.9,,0,,,,2,QUKE-TOV,0.4,
_177,,,,2021,,,,,,,,,,,,,,
_177,85,PIJE,L,2021,7,100,S,2,2,,0,,,,0,CEPA-ST,3,
_177,86,QUKE,D,2021,3,,,,,5,3,,,,0.5,QUKE-TSE,1,
_177,90,QUKE,D,2021,1.8,,,,,5,1.8,,,,0,SYMO-SM,3.5,
