"MacroPlot.Name","Monitoring.Status","Date","Index","IsVerified","QTR","SubFrac","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","UV3","MacroPlotSize","SnagPlotSize","BrkPntDia","FieldTeam","EntryTeam","UV1Desc","UV2Desc","UV3Desc","SaComment","Species.Symbol","Visited","X"
"_132","PreBurnYear1","8/19/2020 5:07:02 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True",NA
"_132","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483648,"False",NA,1,626,"L",17.6,8.5,90,"S",2.1,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TSA",0.1,4.5,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_132","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483647,"False",NA,1,628,"L",72.8,29.6,80,"C",8,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0,5.1,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_132","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483646,"False",NA,1,630,"L",72.4,32,90,"C",12.8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0,1.1,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True",NA
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483648,"False",NA,1,605,"L",54.7,24.8,90,"C",8.8,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SM",1,3.4,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483647,"False",NA,1,606,"L",16.7,6.5,90,"I",2.3,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",2.2,3,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483646,"False",NA,1,608,"L",47.2,24,90,"C",15.8,NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",2.1,5.5,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483645,"False",NA,1,609,"L",52.4,26.6,100,"C",10.6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0,2,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483644,"False",NA,1,610,"L",81.9,22.6,80,"I",1.4,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0,0.4,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
