"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","SnagPlotSize","BrkPntDia","Species.Symbol","X"
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",501,"L",28.85,9,100,"C",2.4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",3,0.1,NA,NA,"PIJE",NA
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",507,"L",33,16.8,90,"C",6,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",0.5,5,NA,NA,"PIJE",NA
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",508,"L",30.2,15.2,70,"C",7,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",0.7,6.5,NA,NA,"PIJE",NA
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",509,"L",41.15,18.2,70,"C",7.2,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",2,7.2,NA,NA,"PIJE",NA
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",510,"L",43.95,18.4,90,"C",5.4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",2.5,4.3,NA,NA,"PIJE",NA
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",511,"L",94,7.4,80,"I",1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0,1,NA,NA,"QUKE",NA
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",512,"L",86.3,15.6,30,"I",1.3,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0,1,NA,NA,"QUKE",NA
"_141","PreBurnYear1","8/19/2020 8:54:15 AM",513,"L",33.19,11.4,90,"C",6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERCO_SL",0.05,3.5,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",545,"L",61.9,23.2,90,"C",14.8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0.2,2.1,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",547,"D",114.5,12,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",551,"L",76.8,27.4,90,"D",12.6,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0,2.5,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",552,"D",23.9,10,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",554,"L",43.75,20.5,80,"C",10.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.2,7.5,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",555,"L",52.95,23.8,70,"C",12,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.5,6.5,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",556,"L",60.2,24.6,90,"C",10,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.4,4,NA,NA,"PIJE",NA
