MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_146,PostBurnYear1,9/30/2021 14:12,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_146,PostBurnYear1,9/30/2021 14:12,-2147483648,3.35,L,1,3.1,,1,,847,N,Y,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483647,1.9,L,1,2.1,,1,,848,N,Y,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483646,1.55,L,1,2,,1,,850,N,Y,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483645,0.55,L,1,1.5,,1,,852,N,Y,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483644,2.35,L,1,1.8,,1,,853,N,N,N,,,,,,,,,,,,,,PIJE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483643,1.5,L,1,2,,1,,856,N,N,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483642,3.25,L,1,3.2,,1,,857,N,N,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483641,1.4,L,1,2.1,,1,,858,N,Y,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483640,1.7,L,1,2.4,,1,,859,N,N,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483639,4.55,L,1,4.1,,1,,860,N,N,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483638,5.3,L,1,4.5,,1,,861,N,N,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483637,1.4,D,1,2.2,,1,,862,Y,Y,N,Y,85,100,16,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483636,5.05,L,1,5.1,,1,,863,N,N,N,Y,68,51,16,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483635,1.2,L,1,2.2,,1,,864,N,Y,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483634,3.25,L,1,2.4,,1,,865,N,Y,N,,,,,,,,,,,,,,QUKE,
_146,PostBurnYear1,9/30/2021 14:12,-2147483633,0.7,D,1,1.8,,1,,867,Y,Y,N,Y,58,135,7,,,,,,,,,,QUKE,
_147,PostBurnYear1,9/30/2021 14:12,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_147,PostBurnYear1,9/30/2021 14:12,-2147483648,6.2,L,1,5.2,,1,,860,N,N,N,Y,170,85,1,,,,,,,,,,QUKE,
_147,PostBurnYear1,9/30/2021 14:12,-2147483647,7.55,L,1,5,,1,,861,N,N,N,Y,12,18,1,,,,,,,,,,QUKE,
_147,PostBurnYear1,9/30/2021 14:12,-2147483646,2.45,L,1,2,,1,,862,N,N,N,Y,55,69,3,,,,,,,,,,QUKE,
_147,PostBurnYear1,9/30/2021 14:12,-2147483645,3.05,L,1,3.2,,1,,865,N,N,N,N,,,,,,,,,,,,,QUKE,
_147,PostBurnYear1,9/30/2021 14:12,-2147483644,0.9,D,1,1.7,,1,,866,Y,Y,N,Y,120,87,11,,,,,,,,,,QUKE,
_147,PostBurnYear1,9/30/2021 14:12,-2147483643,5.55,L,1,5,,1,,867,N,N,N,N,,,,,,,,,,,,,QUKE,
_147,PostBurnYear1,9/30/2021 14:12,-2147483642,6.8,L,1,4.9,,1,,872,N,N,N,N,,,,,,,,,,,,,QUKE,
_148,PostBurnYear1,8/30/2021 14:13,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_148,PostBurnYear1,8/30/2021 14:13,-2147483648,4,L,1,2.2,,1,,876,N,N,N,N,,,,,,,,,,,,,PIJE,
_148,PostBurnYear1,8/30/2021 14:13,-2147483647,3.8,L,1,2.3,,1,,881,N,N,N,N,,,,,,,,,,,,,PIJE,
_149,PostBurnYear1,8/30/2021 14:14,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_149,PostBurnYear1,8/30/2021 14:14,-2147483648,0.95,D,1,1.65,,1,,812,Y,Y,N,Y,56,69,17,,,,,,,,,,QUKE,
_149,PostBurnYear1,8/30/2021 14:14,-2147483647,1.95,D,1,2.55,,1,,817,Y,Y,N,Y,99,100,12,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_150,PostBurnYear1,8/30/2021 14:14,-2147483648,6.6,L,1,4.2,,1,,824,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483647,0.55,L,1,1.7,,1,,825,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483646,1.9,L,1,2.5,,1,,826,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483645,1.2,L,1,1.8,,1,,827,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483644,0.6,L,1,1.6,,1,,828,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483643,1.6,L,1,2.3,,1,,829,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483642,3.4,L,1,3,,1,,830,N,N,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483641,5.6,L,1,4.1,,1,,831,N,N,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483640,3.1,L,1,3.6,,1,,832,N,N,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483639,3.6,L,1,2.9,,1,,833,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483638,6.35,L,1,3.9,,1,,834,N,N,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483637,7.6,L,1,4.4,,1,,835,N,N,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483636,3.1,L,1,3.85,,1,,836,N,N,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483635,0.8,L,1,1.8,,1,,839,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483634,0.55,L,1,1.5,,1,,841,N,N,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483633,1.6,L,1,2.2,,1,,844,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483632,3.5,L,1,3,,1,,845,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear1,8/30/2021 14:14,-2147483631,2,L,1,2.85,,1,,846,N,N,N,N,,,,,,,,,,,,,QUKE,
_151,PostBurnYear1,8/30/2021 14:15,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_151,PostBurnYear1,8/30/2021 14:15,-2147483648,2.25,L,1,1.8,,1,,586,N,N,N,N,,,,,,,,,,,,,PIJE,
_151,PostBurnYear1,8/30/2021 14:15,-2147483647,1.6,L,1,2.1,,1,,590,N,Y,N,Y,47,69,11,,,,,,,,,,QUKE,
_151,PostBurnYear1,8/30/2021 14:15,-2147483646,7.1,L,1,4.2,,1,,593,N,N,N,N,,,,,,,,,,,,,QUKE,
