monitoring_status,treatment_burn,experiment,life_stage,status,count
PreBurn,control,old,adult,live,18
PreBurn,control,old,adult,dead,0
PreBurn,control,old,adult,topkill,0
PreBurn,dormant_burn,old,adult,live,37
PreBurn,dormant_burn,old,adult,dead,0
PreBurn,dormant_burn,old,adult,topkill,0
PreBurn,leafout_burn,old,adult,live,22
PreBurn,leafout_burn,old,adult,dead,0
PreBurn,leafout_burn,old,adult,topkill,0
PostBurnYear1,control,old,adult,live,18
PostBurnYear1,control,old,adult,dead,0
PostBurnYear1,control,old,adult,topkill,0
PostBurnYear1,dormant_burn,old,adult,live,36
PostBurnYear1,dormant_burn,old,adult,dead,1
PostBurnYear1,dormant_burn,old,adult,topkill,1
PostBurnYear1,leafout_burn,old,adult,live,16
PostBurnYear1,leafout_burn,old,adult,dead,1
PostBurnYear1,leafout_burn,old,adult,topkill,5
PostBurnYear2,control,old,adult,live,18
PostBurnYear2,control,old,adult,dead,0
PostBurnYear2,control,old,adult,topkill,0
PostBurnYear2,dormant_burn,old,adult,live,35
PostBurnYear2,dormant_burn,old,adult,dead,1
PostBurnYear2,dormant_burn,old,adult,topkill,2
PostBurnYear2,leafout_burn,old,adult,live,16
PostBurnYear2,leafout_burn,old,adult,dead,2
PostBurnYear2,leafout_burn,old,adult,topkill,5
PreBurn,control,old,sapling,live,34
PreBurn,control,old,sapling,dead,0
PreBurn,control,old,sapling,topkill,0
PreBurn,dormant_burn,old,sapling,live,58
PreBurn,dormant_burn,old,sapling,dead,0
PreBurn,dormant_burn,old,sapling,topkill,0
PreBurn,leafout_burn,old,sapling,live,43
PreBurn,leafout_burn,old,sapling,dead,0
PreBurn,leafout_burn,old,sapling,topkill,0
PostBurnYear1,control,old,sapling,live,34
PostBurnYear1,control,old,sapling,dead,0
PostBurnYear1,control,old,sapling,topkill,0
PostBurnYear1,dormant_burn,old,sapling,live,27
PostBurnYear1,dormant_burn,old,sapling,dead,3
PostBurnYear1,dormant_burn,old,sapling,topkill,28
PostBurnYear1,leafout_burn,old,sapling,live,9
PostBurnYear1,leafout_burn,old,sapling,dead,1
PostBurnYear1,leafout_burn,old,sapling,topkill,33
PostBurnYear2,control,old,sapling,live,36
PostBurnYear2,control,old,sapling,dead,0
PostBurnYear2,control,old,sapling,topkill,0
PostBurnYear2,dormant_burn,old,sapling,live,24
PostBurnYear2,dormant_burn,old,sapling,dead,4
PostBurnYear2,dormant_burn,old,sapling,topkill,29
PostBurnYear2,leafout_burn,old,sapling,live,14
PostBurnYear2,leafout_burn,old,sapling,dead,1
PostBurnYear2,leafout_burn,old,sapling,topkill,32
