,x1,macro_plot_name,monitoring_status,date_x,tag_no,status_x,dbh_x,ht,crwn_rto,crwn_cl,li_cr_b_ht,crwn_rad,decay_cl,char_ht,scorch_ht,cr_sc_pct,comment_x,uv1,uv2,species_symbol,year,treatment,treatment_burn,experiment,date_y,species,status_y,top_kill_y_n,dbh_y,crown_ratio,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,resprout_count,comment_y,experiment_resprout
1,1,_152,PreBurn,10/14/2020 11:10,203,L,54.25,17.8,80,C,9.6,3,NA,4.3,NA,NA,PRIV-SL,2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,_152,PreBurn,10/14/2020 11:10,204,L,20.1,8.6,90,I,3.6,1.4,NA,1.4,NA,NA,ARPA-Dead,0,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,_152,PreBurn,10/14/2020 11:10,205,L,64.55,15.4,90,C,7.6,3.75,NA,0.45,NA,NA,ARPA-Dead,1.8,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,_152,PreBurn,10/14/2020 11:10,206,L,64.15,21.4,90,C,11.6,4.75,NA,0.5,NA,NA,CEBE-SL,1.7,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,_152,PreBurn,10/14/2020 11:10,207,L,49.1,17,90,C,11.6,4.6,NA,0.23,NA,NA,PIJE-TOV,2.1,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,_152,PreBurn,10/14/2020 11:10,208,L,50,18.6,90,C,7.8,2.15,NA,0,NA,NA,CEBE-SL,1.9,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,_154,PreBurn,10/14/2020 11:10,101,L,8.05,3.1,100,I,0.3,0.65,NA,NA,NA,NA,ERWR-SL,1.8,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,_154,PreBurn,10/14/2020 11:10,102,L,41.8,17.8,70,C,10.2,2,NA,0.2,NA,NA,CEBE-SL,1.1,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,_154,PreBurn,10/14/2020 11:10,103,L,47.15,18.2,90,C,10.4,2.5,NA,0.1,NA,NA,ERWR-SL,1.2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,_154,PreBurn,10/14/2020 11:10,104,L,25.95,10.8,80,I,4.6,1.6,NA,0.35,NA,NA,ERWR-SL,1.3,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,_154,PreBurn,10/14/2020 11:10,105,L,9.7,3.8,90,S,0.4,1,NA,NA,NA,NA,ERWR-SL,0.2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
