Plot #, Date,Tag #,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
170,2022,,,,,,,,,,,,,,,,,,,,,
170,2022,975,QUKE,L,,51.7,9.8,40,I,2.5,2.25,,0,2.5,10,,,,,,,
170,2022,976,PIJE,L,,37.3,17.4,70,C,7.5,3,,7,4.8,30,,,,,,,
170,2022,977,QUKE,D,,41.85,6.5,,,,,1,3,6.5,100,,,,,,,
170,2022,978,PIJE,L,,11.05,5.8,90,S,2,1,,0.2,2.2,5,,,,,,,
170,2022,979,QUKE,L,,57,16.4,90,C,1.5,5,,0,4.1,5,,,,,,,
170,2022,980,QUKE,L,,72.4,16.5,100,C,0.8,5.5,,0,2.8,2,,,,,,,
170,2022,981,QUKE,L,,85.75,16.6,100,C,1.4,6.5,,0,4,2,,,,,,,
171,2022,,,,,,,,,,,,,,,,,,,,,
171,2022,51,QUKE,D,,61.5,2.5,,,,,5,0.86,,,,,,,,,
171,2022,52,QUKE,L,,59.9,16.6,100,C,0.5,3.5,,1.35,2.5,3,,,,,,,
171,2022,53,QUKE,L,,13.6,7,100,I,0.4,2.75,,0,0,0,,,,,,,
171,2022,56,QUKE,L,,46.6,10.5,90,I,0.3,6,,0,1.5,5,,,,,,,
171,2022,59,QUKE,L,,40.2,13.2,100,C,0.5,4.5,,0,3,5,,,,,,,
171,2022,60,QUKE,L,,44.65,12.2,90,C,1,4.75,,0,6,10,,,,,,,
171,2022,61,PIJE,D,,21.25,7.6,,,,,1,0.5,7.6,95,,,,,,,
171,2022,62,PIJE,L,,14.05,6.5,10,S,6,0.5,,0,6,90,,,,,,,
172,2022,,,,,,,,,,,,,,,,,,,,,
172,2022,117,QUKE,L,,58.85,12,70,C,2.2,5,,0.6,3.8,3,,,,,,,
172,2022,118,QUKE,L,,51.15,9.6,70,I,5.2,3,,0.8,2,20,,,,,,,
172,2022,119,PIJE,D,,,,,,,,,,,,,,,,,,
172,2022,120,PIJE,L,,43.6,15,90,D,8,3,,3.4,0,0,,,,,,,
172,2022,122,PIJE,L,,45.6,16.4,100,C,9.8,2,,5.2,8.8,5,,,,,,,
172,2022,123,QUKE,L,,47.55,11.6,80,I,4,2.5,,0.68,4,8,,,,,,,
172,2022,124,QUKE,D,,54.65,2,,,,,1,2,,,,,,,,,
172,2022,125,PIJE,D,,22.6,3.9,,,,,3,0.45,,,,,,,,,
172,2022,126,QUKE,L,,46.9,10.8,90,I,4.5,3,,0.2,5.8,5,,,,,,,
173,2022,,,,,,,,,,,,,,,,,,,,,
173,2022,22,QUKE,L,,42.55,6.4,60,I,4,6.5,,0,4,40,,,,,,,
173,2022,23,QUKE,L,,33.8,9.4,40,I,4.2,3.5,,0,4.2,60,,,,,,,
173,2022,25,QUKE,L,,33.6,12.4,60,C,5,6,,0,5,40,,,,,,,
173,2022,26,QUKE,L,,32.6,12.3,40,C,4,6,,0,4,60,,,,,,,
173,2022,27,QUKE,L,,33.95,12.5,60,C,6.5,6.5,,0,10.4,40,,,,,,,
173,2022,28,QUKE,L,,39.35,12.4,90,C,1.4,4.5,,0,2.5,10,,,,,,,
173,2022,29,QUKE,L,,39.5,9,90,I,2,3.5,,0.85,3,5,,,,,,,
173,2022,30,QUKE,D,,,,,,,,,0,,,,,,,,,Gone.
173,2022,31,PIJE,L,,21.2,4.8,50,I,,1.5,,0.6,2.5,50,,,,,,,
173,2022,32,PIJE,D,,11.25,2,,,,,1,0.84,2,100,,,,,,,
173,2022,33,QUKE,D,,47.2,2.1,,,,,1,2.02,,,,,,,,,
173,2022,34,QUKE,D,,,,,,,,,0,,,,,,,,,Gone.
173,2022,35,PIJE,L,,14.8,7,30,I,3.5,0.75,,1.48,3.5,69,,,,,,,
173,2022,36,QUKE,L,,40.5,11.8,50,C,6.2,3.75,,1.73,6.2,45,,,,,,,
173,2022,37,PIJE,D,,12.1,5.2,,,,,,0.82,5.2,95,,,,,,,
175,2022,,,,,,,,,,,,,,,,,,,,,
175,2022,41,QUKE,D,,39.85,8.6,,,,,1,1.11,10,5,,,,,,,
175,2022,42,QUKE,L,,73.6,6.8,30,I,2.2,5,,4,4,20,,,,,,,
175,2022,45,PIJE,L,,22.95,7.6,100,S,1.6,1,,0.77,0,0,,,,,,,
175,2022,46,QUKE,L,,34.2,10.5,90,C,1.9,3.75,,0,3,5,,,,,,,
175,2022,47,QUKE,L,,41.65,12.2,90,C,1.9,4.5,,0,4,5,,,,,,,
175,2022,48,QUKE,L,,34.3,10,80,I,2.1,2.25,,0,10,10,,,,,,,
175,2022,49,QUKE,L,,56.4,14,80,C,5,5,,0,7,5,,,,,,,
175,2022,50,QUKE,L,,63.35,13.7,80,C,3,5.2,,0,7.2,5,,,,,,,
176,2022,,,,,,,,,,,,,,,,,,,,,
176,2022,76,QUKE,D,,19.35,6.2,,,,,1,0.75,,,,,,,,,
176,2022,77,QUKE,L,,63.5,11.2,50,C,0,3.5,,0.64,,,,,,,,,
176,2022,79,PIJE,L,,30.7,7.9,70,I,1.7,3,,0.8,1.5,2,,,,,,,
176,2022,80,QUKE,L,,12.8,6.5,100,I,0.2,2,,0.26,,,,,,,,,
176,2022,81,QUKE,L,,12.1,6.6,100,I,1.3,1.5,,0,,,,,,,,,
176,2022,83,QUKE,L,,13.7,6.4,100,I,1,2.5,,0.37,,,,,,,,,
176,2022,84,PIJE,L,,35.5,14,80,C,5,1.5,,0.63,2.9,10,,,,,,,
177,2022,,,,,,,,,,,,,,,,,,,,,
177,2022,85,PIJE,L,,23.7,7.3,90,S,1.8,1.75,,0.98,2,10,,,,,,,
177,2022,86,QUKE,D,,95.2,3,,,,,5,3,,,,,,,,,
177,2022,90,QUKE,D,,,,,,,,,0.23,,,,,,,,,Gone.
177,2022,91,QUKE,L,,19.8,10.7,100,I,1,2,,1,3,,,,,,,,
177,2022,92,PIJE,L,,11.25,5,40,S,3,0.5,,0.76,0,60,,,,,,,
177,2022,93,QUKE,L,,91,15.3,70,C,1.2,5.5,,0.32,0,,,,,,,,
177,2022,94,QUKE,L,,68.5,13.2,80,C,1,9.5,,0,0,,,,,,,,
179,2022,,,,,,,,,,,,,,,,,,,,,
179,2022,65,PIJE,L,,28.25,9.6,90,I,3.9,2,,2.4,3.8,10,,,,,,,
179,2022,66,QUKE,L,,61.7,10.7,100,I,1.4,4.25,,0,,,,,,,,,
179,2022,67,QUKE,L,,72.75,18.5,80,D,1.7,4.5,,0,,,,,,,,,
179,2022,68,QUKE,D,,,,,,,,,,,,,,,,,,Chopped down. Gone.
179,2022,72,QUKE,L,,40.6,9,100,I,0.1,4.1,,0,,,,,,,,,
179,2022,74,PIJE,L,,41.4,14.9,100,C,5.6,3,,1.9,,,,,,,,,
