"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","SnagPlotSize","BrkPntDia","Species.Symbol","Visited"
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",51,"D",61.5,2.5,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",52,"L",59.9,16.6,100,"C",0.5,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,2.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",53,"L",13.6,7,100,"I",0.4,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",56,"L",46.6,10.5,90,"I",0.3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",59,"L",40.2,13.2,100,"C",0.5,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",60,"L",44.65,12.2,90,"C",1,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",61,"D",21.25,7.6,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,7.6,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_171","PostBurnYear1","8/26/2022 2:20:38 PM",62,"L",14.05,6.5,10,"S",6,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_198","PostBurnYear1","8/25/2022 3:41:44 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_198","PostBurnYear1","8/25/2022 3:41:44 PM",189,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fell over due to fire.",NA,NA,NA,"QUKE",""
"_198","PostBurnYear1","8/25/2022 3:41:44 PM",190,"L",48.45,18.6,90,"D",10.6,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,10.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_198","PostBurnYear1","8/25/2022 3:41:44 PM",192,"D",9.6,5.8,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,5.8,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_198","PostBurnYear1","8/25/2022 3:41:44 PM",193,"D",7.75,5.2,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.2,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_198","PostBurnYear1","8/25/2022 3:41:44 PM",194,"D",50.65,10.1,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,10.1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_198","PostBurnYear1","8/25/2022 3:41:44 PM",195,"D",38.3,12,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,12,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_198","PostBurnYear1","8/25/2022 3:41:44 PM",197,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fell over due to fire.",NA,NA,NA,"PIJE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",117,"L",58.85,12,70,"C",2.2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,3.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",118,"L",51.15,9.6,70,"I",5.2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",119,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",120,"L",43.6,15,90,"D",8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",122,"L",45.6,16.4,100,"C",9.8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,8.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",123,"L",47.55,11.6,80,"I",4,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",124,"D",54.65,2,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",125,"D",22.6,3.9,NA,"",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_172","PostBurnYear1","8/25/2022 2:30:59 PM",126,"L",46.9,10.8,90,"I",4.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,5.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",95,"D",16.05,3.4,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.4,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",96,"D",76.95,15.5,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",98,"L",24.35,12.9,90,"C",5.1,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",99,"L",37.45,12.4,100,"C",4.9,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",100,"L",27.6,10,80,"I",3.5,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,5.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",101,"L",11.25,6.2,90,"I",1.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",103,"L",15.8,6.4,100,"I",2.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",104,"L",12,6,100,"I",2.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",105,"L",9.35,5.2,100,"I",3,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",106,"L",10.8,7.1,100,"I",4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",107,"L",13.25,7.2,100,"I",3.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",108,"L",9.8,7,100,"I",2,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",109,"L",23.15,9.9,70,"C",2.4,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,4.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",110,"L",16.1,6.9,100,"I",2.1,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",111,"L",44.3,12.9,100,"C",0.4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",112,"L",55.4,13,100,"C",1.6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",113,"L",50.55,7.6,100,"I",1.8,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",114,"L",15.1,5.2,90,"S",0.1,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",115,"L",45.2,12.2,80,"C",4,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",85,"L",23.7,7.3,90,"S",1.8,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",86,"D",95.2,3,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",90,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gone.",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",91,"L",19.8,10.7,100,"I",1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",92,"L",11.25,5,40,"S",3,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
