"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","SnagPlotSize","BrkPntDia","Species.Symbol","X"
"_137","PreBurnYear1","8/19/2020 8:44:20 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_137","PreBurnYear1","8/19/2020 8:44:20 AM",701,"D",65.7,23,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x_TOV",4.2,1,NA,NA,"PIJE",NA
"_137","PreBurnYear1","8/19/2020 8:44:20 AM",702,"D",46.1,17.5,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x_TOV_DTOV",3.1,0.8,NA,NA,"PIJE",NA
"_137","PreBurnYear1","8/19/2020 8:44:20 AM",703,"L",41.9,17.5,90,"C",3.5,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x_DTOV",1.5,3,NA,NA,"PIJE",NA
"_137","PreBurnYear1","8/19/2020 8:44:20 AM",704,"D",57.2,20,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x_TOV",1.5,3,NA,NA,"PIJE",NA
"_137","PreBurnYear1","8/19/2020 8:44:20 AM",705,"L",64.2,21,100,"C",8.6,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x_SM",3,3,NA,NA,"PIJE",NA
"_137","PreBurnYear1","8/19/2020 8:44:20 AM",707,"L",47.3,11,70,"I",0.8,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x_TOV",0.8,3.3,NA,NA,"QUKE",NA
"_137","PreBurnYear1","8/19/2020 8:44:20 AM",708,"L",43.1,9,100,"I",0.1,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x_TOV",0.8,3,NA,NA,"QUKE",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",740,"L",37.3,18.4,90,"C",8.2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",1,0,NA,NA,"PIJE",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",741,"D",37.9,3,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",743,"L",39.8,14.5,100,"C",1.4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",0.75,2.2,NA,NA,"QUKE",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",744,"L",37.8,14,90,"C",0.4,NA,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",0.2,0,NA,NA,"QUKE",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",745,"L",16.2,5,70,"I",1.5,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.1,0.5,NA,NA,"PIJE",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",747,"L",42.3,24.2,70,"C",12.6,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0.1,0.1,NA,NA,"PIJE",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",754,"L",59.8,30.4,90,"C",16.6,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",3,0,NA,NA,"PIJE",NA
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",755,"L",47.3,22.8,90,"C",15.2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",1.2,0,NA,NA,"PIJE",NA
