Plot #,Tag #,Species ,Status,DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Distance to woody indv. (m),Lifeform code for woody neighbor,Distance to CWD (m),Comment
_128,,,,,,,,,,,,,,,,,,
_128,652,PIJE,L,64.3,22.6,90,C,11.6,4,,4,,,,1,CEBE_ST,,
_128,653,PIJE,L,53.4,22.4,80,C,10.2,3,,5,,,,0.1,QUKE_TSA,,
_128,655,PIJE,L,39.9,21.6,70,C,13.6,2.08,,3.4,,,,0.5,QUKE_TSA,,
_128,657,PIJE,L,63.7,20.8,90,C,10.6,3.5,,1,,,,0.4,ROCA_SM,,
_128,663,QUKE,D,41.7,1.8,,,,,5,,,,,0.1,ROCA_SM,,
_128,664,QUKE,D,51.1,3.7,,,,,5,,,,,0,ROCA_SL,,
_128,668,PIJE,L,43.8,18.2,90,C,6.4,3,,3.2,,,,0,SYMO_SL,,
_128,670,PIJE,L,12.1,6.2,70,S,1.5,1.5,,1.5,,,,0,QUKE_TSA,,
_129,,,,,,,,,,,,,,,,,,
_129,605,PIJE,L,54.7,24.8,90,C,8.8,2.25,,0.5,,,,1,ERWR_SM,,
_129,606,PIJE,L,16.7,6.5,90,I,2.3,1.35,,0,,,,2.2,ROCA_SM,,
_129,608,PIJE,L,47.2,24,90,C,15.8,2.38,,0,,,,2.1,ERWR_SL,,
_129,609,PIJE,L,52.4,26.6,100,C,10.6,3,,0.5,,,,0,ROCA_SM,,
_129,610,QUKE,L,81.9,22.6,80,I,1.4,4.25,,0.3,,,,0,ROCA_SM,,
_129,612,PIJE,L,67.55,27.4,90,C,15.2,4.5,,0.1,,,,0,ROCA_SM,,
_129,614,QUKE,L,8,6.5,90,S,2.5,0.75,,0,,,,0,ROCA_SM,,
_129,615,QUKE,L,7.7,6.2,90,S,3,0.65,,0,,,,0,ROCA_SM,,
_129,617,PIJE,L,57.2,26,90,C,15.4,3,,0,,,,0,ROCA_SM,,
_129,622,QUKE,L,9.45,3.8,100,I,1.2,1.55,,0,,,,0.1,ROCA_SM,,
_129,623,QUKE,D,79.5,8.4,,,,,2,,,,,,,,
_129,624,QUKE,D,71,8.9,,,,,1,,,,,,,,
_130,,,,,,,,,,,,,,,,,,
_130,637,PIJE,L,30.4,15.8,60,C,7.2,2.5,,1.1,,,,1.2,ERWI_SL,,
_130,638,PIJE,L,51.2,22.2,90,C,7.6,3.5,,2,,,,0.1,QUKE_TSE,,
_130,648,PIJE,L,45.8,19.6,90,C,7.4,2.5,,2,,,,0,CEBE_SM,,
_130,640,PIJE,L,45.9,20.8,100,C,11.4,1.75,,3,,,,2,QUKE_TSA,,
_130,641,PIJE,L,56.9,24.6,100,C,12.4,2.25,,1.5,,,,0.2,ROCA_SL,,
_130,642,PIJE,D,80.3,27,,,,,1,,,,,0.3,ROCA_SL,,
_130,643,PIJE,L,23.2,11.4,80,I,4.2,1.75,,1,,,,1,ROCA_SL,,
_130,644,QUKE,L,22.8,8,90,I,0.4,2.1,,0,,,,0.8,QUKE_TOV,,
_130,645,QUKE,L,29.5,9.5,90,I,1.5,2.88,,0,,,,0.8,QUKE_TOV,,
_130,646,QUKE,L,29.6,14.5,90,C,2,3.75,,0,,,,0,QUKE_TOV,,
_130,647,QUKE,L,15,33,90,I,2,2.75,,0,,,,0,QUKE_TOV,,
_130,649,PIJE,L,45.4,20.6,80,C,6.8,2.25,,1.8,,,,1.9,QUKE_TSE,,
_131,,,,,,,,,,,,,,,,,,
_131,674,QUKE,L,36.8,11.4,90,C,0,4.75,,0,,,,0,QUKE_DTOV,,
_131,675,QUKE,D,49.6,12.2,,,,,1,,,,,,,,
_131,676,PIJE,D,48.1,15.8,,,,,1,,,,,,,,
_131,677,PIJE,L,37.4,12.8,90,C,5,2.5,,0,,,,0.1,ERWR_SL,,
_131,678,PIJE,L,21.3,9.4,40,I,1.5,0.75,,0,,,,2,ROCA_SL,,
_131,679,PIJE,L,63.3,22.4,80,D,6,3,,0,,,,0.3,ERWR_SL,,
_131,680,QUKE,L,41.7,11.4,90,C,8.5,4.25,,0,,,,2,PIJE_TOV,,
_132,,,,,,,,,,,,,,,,,,
_132,626,PIJE,L,17.6,8.5,90,S,2.1,1.75,,0,,,,0.1,PIJE_TSA,,
_132,628,PIJE,L,72.8,29.6,80,C,8,4.75,,0,,,,0,ROCA_SM,,
_132,630,PIJE,L,72.4,32,90,C,12.8,4,,0,,,,0,ROCA_SM,,
_133,,,,,,,,,,,,,,,,,,
_133,682,QUKE,L,68.9,13.4,90,C,0.4,2.5,,0,,,,2,PIJE_TSE,,
_133,683,QUKE,L,38.5,6.2,90,I,1.2,2,,0,,,,2,PIJE_TSE,,
_133,684,QUKE,L,9.7,3.5,100,I,0.2,1.25,,0,,,,0,QUKE_TOV,,
_133,685,QUKE,L,8.05,3.2,100,I,0.4,1.25,,0,,,,0,QUKE_TOV,,
_133,687,PIJE,L,84.9,21.4,80,C,12,4.5,,0,,,,3,ERWR_SL,,
_133,688,PIJE,L,75.8,23.6,90,C,11.2,4.25,,0,,,,0.4,QUKE_TSE,,
_134,,,,,,,,,,,,,,,,,,
_134,740,PIJE,L,37.3,18.4,90,C,8.2,5,,0,,,,1,QUKE_TSE,,
_134,741,QUKE,D,37.9,3,,,,,5,,,,,,,,
_134,743,QUKE,L,39.8,14.5,100,C,1.4,6,,0,,,,0.75,QUKE_TSA,,
_134,744,QUKE,L,37.8,14,90,C,0.4,3.38,,0,,,,0.2,QUKE_TSE,,
_134,745,PIJE,L,16.2,5,70,I,1.5,2.3,,0.1,,,,0.1,ROCA_SL,,
_134,747,PIJE,L,42.3,24.2,70,C,12.6,1.5,,0.3,,,,0.1,ROCA_SM,,
_134,754,PIJE,L,59.8,30.4,90,C,16.6,7.6,,3.2,,,,3,QUKE_TSE,,
_134,755,PIJE,L,47.3,22.8,90,C,15.2,6,,3,,,,1.2,QUKE_TSE,,
_134,756,PIJE,L,56.35,24.8,70,C,15,8.5,,1.5,,,,3.1,QUKE_TSE,,
