MacroPlot Name, Date,Tag,Species ,Status,Top Kill    (Y/N),DBH,crown ratio,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_132,2022,,,,,,,,,,,,
_132,2022,626,PIJE,D,,16.9,,,,,,,
_132,2022,628,PIJE,L,,72,60,,,,,,
_132,2022,630,PIJE,L,,70.15,80,,,,,,New tag 968
_129,2022,,,,,,,,,,,,
_129,2022,605,PIJE,L,,55.8,100,,,,,,
_129,2022,606,PIJE,L,,17.35,100,,,,,,
_129,2022,608,PIJE,L,,48,100,,,,,,
_129,2022,609,PIJE,L,,53,100,,,,,,
_129,2022,610,QUKE,L,,82.65,100,,,,,,
_129,2022,612,PIJE,L,,68.5,100,,,,,,
_129,2022,614,QUKE,L,,9.05,100,,,,,,
_129,2022,615,QUKE,L,,8.4,100,,,,,,
_129,2022,617,PIJE,L,,57.1,100,,,,,,
_129,2022,622,QUKE,L,,10.4,100,,,,,,
_129,2022,623,QUKE,D,,79.5,,,,,,,
_129,2022,624,QUKE,D,,,,,,,,,
_133,2022,,,,,,,,,,,,
_133,2022,682,QUKE,L,,68.6,100,,,,,,
_133,2022,683,QUKE,L,,39.1,100,,,,,,
_133,2022,684,QUKE,D,,9.5,,,,,,,
_133,2022,685,QUKE,D,,8.2,,,,,,,
_133,2022,687,PIJE,D,,84.55,,,,,,,
_133,2022,688,PIJE,L,,76.3,100,,,,,,
_130,2022,,,,,,,,,,,,
_130,2022,637,PIJE,L,,31.35,90,,,,,,
_130,2022,638,PIJE,L,,51.6,100,,,,,,
_130,2022,648,PIJE,L,,45.55,100,,,,,,
_130,2022,640,PIJE,L,,46.2,100,,,,,,
_130,2022,641,PIJE,L,,56.35,50,,,,,,
_130,2022,642,PIJE,D,,79.45,,,,,,,
_130,2022,643,PIJE,L,,23.95,80,,,,,,
_130,2022,644,QUKE,L,,22.6,50,,,,,,
_130,2022,645,QUKE,L,,28.3,90,,,,,,
_130,2022,646,QUKE,L,,30,100,,,,,,
_130,2022,647,QUKE,L,,33.5,100,,,,,,
_130,2022,649,PIJE,L,,46.6,100,,,,,,
_128,2022,,,,,,,,,,,,
_128,2022,652,PIJE,L,,64.1,90,,,,,,
_128,2022,653,PIJE,L,,53.6,90,,,,,,
_128,2022,655,PIJE,L,,39.4,70,,,,,,
_128,2022,657,PIJE,L,,63.35,80,,,,,,
_128,2022,663,QUKE,D,,,,,,,,,Tree is gone
_128,2022,664,QUKE,D,,,,,,,,,Tree is gone
_128,2022,668,PIJE,L,,44.4,90,,,,,,
_128,2022,670,PIJE,D,,11.2,,,,,,,
_131,2022,,,,,,,,,,,,
_131,2022,674,QUKE,D,,36.2,,,,,,,
_131,2022,675,QUKE,D,,42,,,,,,,
_131,2022,676,PIJE,D,,,,,,,,,Fallen; cut-down.
_131,2022,677,PIJE,L,,37.45,30,,,,,,New tag 965
_131,2022,678,PIJE,D,,19.7,,,,,,,New tag 966
_131,2022,679,PIJE,D,,61.1,,,,,,,New tag967
_131,2022,680,QUKE,D,,41.4,,,,,,,
_137,2022,,,,,,,,,,,,
_137,2022,701,PIJE,D,,60.9,,,,,,,
_137,2022,702,PIJE,D,,43.1,,,,,,,New Tag 970
_137,2022,703,PIJE,D,,41.1,,,,,,,
_137,2022,704,PIJE,D,,56.1,,,,,,,
_137,2022,705,PIJE,L,,64.2,100,,,,,,
_137,2022,707,QUKE,L,,47.7,40,,,,,,
_137,2022,708,QUKE,L,,43.9,90,,,,,,
_134,2022,,,,,,,,,,,,
_134,2022,740,PIJE,L,,36.1,50,,,,,,New tag 880
_134,2022,741,QUKE,D,,,,,,,,,Gone. 
_134,2022,743,QUKE,L,,39.45,70,,,,,,
_134,2022,744,QUKE,L,,83.2,80,,,,,,
_134,2022,745,PIJE,D,,14.3,,,,,,,
_134,2022,747,PIJE,L,,41.3,50,,,,,,
_134,2022,754,PIJE,L,,57.6,80,,,,,,
_134,2022,755,PIJE,L,,46.75,90,,,,,,
_134,2022,756,PIJE,L,,56.2,90,,,,,,New tag 881
_134,2022,757,PIJE,L,,58.65,70,,,,,,New tag 879
_135,2022,,,,,,,,,,,,
_135,2022,725,QUKE,L,,89.9,80,,,,,,
_135,2022,726,PIJE,L,,79.4,100,,,,,,New Tag 878
_135,2022,730,PIJE,L,,61.1,100,,,,,,
_135,2022,731,QUKE,D,,23.7,,,,,,,
_135,2022,732,QUKE,D,,,,,,,,,
_135,2022,733,QUKE,D,,11.5,,,,,,,
_138,2022,,,,,,,,,,,,
_138,2022,781,PIJE,D,,,,,,,,,
_138,2022,782,PIJE,D,,23.8,,,,,,,
_138,2022,784,QUKE,L,,145.95,40,,,,,,
_138,2022,785,PIJE,D,,22.8,,,,,,,New Tag 169
_138,2022,786,PIJE,L,,26,20,,,,,,
_138,2022,787,PIJE,L,,27.2,20,,,,,,
_138,2022,788,PIJE,L,,25.4,20,,,,,,
_139,2022,,,,,,,,,,,,
_139,2022,771,PIJE,L,,60.4,100,,,,,,
_139,2022,772,PIJE,L,,78.7,90,,,,,,
_139,2022,773,QUKE,D,,,,,,,,,Gone.
_139,2022,776,QUKE,L,,13.1,90,,,,,,
_139,2022,777,PIJE,L,,48.5,100,,,,,,
_139,2022,778,PIJE,L,,40.8,100,,,,,,
_141,2022,,,,,,,,,,,,
_141,2022,501,PIJE,L,,30.55,80,,,,,,
_141,2022,507,PIJE,L,,33.8,100,,,,,,
_141,2022,508,PIJE,L,,31.2,80,,,,,,
_141,2022,509,PIJE,L,,42.4,100,,,,,,
_141,2022,510,PIJE,L,,44.95,90,,,,,,
_141,2022,511,QUKE,L,,94,50,,,,,,
_141,2022,512,QUKE,D,,74.85,,,,,,,
_141,2022,513,PIJE,L,,33.05,50,,,,,,
_141,2022,503,QUKE,L,,7.8,,,,,,,
_145,2022,,,,,,,,,,,,
_145,2022,545,PIJE,L,,62,100,,,,,,
_145,2022,547,QUKE,D,,,,,,,,,Gone
_145,2022,551,PIJE,L,,77.15,100,,,,,,
_145,2022,552,PIJE,D,,,,,,,,,Gone
_145,2022,554,PIJE,L,,44.05,100,,,,,,
_145,2022,555,PIJE,L,,53.2,100,,,,,,
_145,2022,556,PIJE,L,,60.5,100,,,,,,
_145,2022,557,PIJE,L,,17.55,30,,,,,,
_145,2022,558,PIJE,D,,14.55,,,,,,,
_145,2022,562,PIJE,L,,53.8,100,,,,,,
_145,2022,563,PIJE,L,,20.1,50,,,,,,
_145,2022,565,QUKE,L,,9.45,70,,,,,,
_142,2022,,,,,,,,,,,,
_142,2022,570,QUKE,L,,9.7,100,,,,,,
_142,2022,571,QUKE,D,,47.25,,,,,,,
_142,2022,574,PIJE,L,,18,20,,,,,,
_142,2022,575,PIJE,L,,73.3,100,,,,,,
_142,2022,576,QUKE,L,,10.7,100,,,,,,
_142,2022,577,PIJE,L,,23.85,90,,,,,,
_142,2022,582,PIJE,L,,29.3,90,,,,,,
_142,2022,583,PIJE,L,,56.95,100,,,,,,
_143,2022,,,,,,,,,,,,
_143,2022,533,QUKE,D,,,,,,,,,
_143,2022,534,PIJE,D,,,,,,,,,
_143,2022,535,QUKE,L,,45.4,70,,,,,,
_143,2022,536,QUKE,L,,49.9,80,,,,,,
_143,2022,537,PIJE,L,,41.25,80,,,,,,
_143,2022,538,QUKE,L,,12.6,80,,,,,,
_143,2022,539,QUKE,L,,13.2,80,,,,,,
