MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_128,PostBurnYear1,2021,,,,,,,,,,,,,,,,N,N,,,,
_128,PostBurnYear1,2021,652,PIJE,L,N,63.9,22.8,70,C,13.8,2.5,,3,13.8,30,,N,N,,,,
_128,PostBurnYear1,2021,653,PIJE,L,N,53.35,22.6,80,C,13.8,2.45,,4,13.8,20,,N,N,,,,
_128,PostBurnYear1,2021,655,PIJE,L,N,39.4,21.6,70,C,14.2,1.4,,10,13,25,,N,N,,,,
_128,PostBurnYear1,2021,657,PIJE,L,N,63.1,21,70,C,15.4,3,,9.4,15.4,25,,N,N,,,,
_128,PostBurnYear1,2021,663,QUKE,D,N,,,,,,,,,,,,N,N,,,,Tree is gone
_128,PostBurnYear1,2021,664,QUKE,D,N,,,,,,,,,,,,N,N,,,,Tree is gone
_128,PostBurnYear1,2021,668,PIJE,L,N,43.7,18.6,80,C,11.3,0.5,,2.8,2.8,25,,N,N,,,,
_128,PostBurnYear1,2021,670,PIJE,D,N,10.75,6.2,,,,,1,,4,100,,N,N,,,,
_129,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_129,PostBurnYear1,2021,605,PIJE,L,N,55.05,26,90,C,7.6,2,,2,,,,N,N,,,,
_129,PostBurnYear1,2021,606,PIJE,L,N,16.75,6.8,100,I,10,2.35,,0,,,,N,N,,,,
_129,PostBurnYear1,2021,608,PIJE,L,N,47.7,24,100,C,15.8,1.95,,0.05,,,,N,N,,,,
_129,PostBurnYear1,2021,609,PIJE,L,N,52.75,28,100,C,11,2.5,,2.1,,,,N,N,,,,
_129,PostBurnYear1,2021,610,QUKE,L,N,81.6,24,90,I,2.6,4.5,,0.5,,,,N,N,,,,
_129,PostBurnYear1,2021,612,PIJE,L,N,67.6,28.4,90,C,16,2.7,,1.4,,,,N,N,,,,
_129,PostBurnYear1,2021,614,QUKE,L,N,8.35,6.6,100,S,2.5,1.25,,0.4,,,,N,N,,,,
_129,PostBurnYear1,2021,615,QUKE,L,N,7.85,6.6,100,S,2.6,0.75,,0.3,,,,N,N,,,,
_129,PostBurnYear1,2021,617,PIJE,L,N,56.9,26,100,C,15,2.95,,4.5,,,,N,N,,,,
_129,PostBurnYear1,2021,622,QUKE,L,N,9.5,6.5,90,I,1.5,1.15,,0.2,,,,Y,N,,,,
_129,PostBurnYear1,2021,623,QUKE,D,N,79.4,8.4,,,,,3,,,,,N,N,,,,
_129,PostBurnYear1,2021,624,QUKE,D,N,70.7,8.9,,,,,2,,,,,N,N,,,,
_130,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_130,PostBurnYear1,2021,637,PIJE,L,N,30.7,16.2,70,C,7.8,2.4,,0.8,9.8,30,,N,N,,,,
_130,PostBurnYear1,2021,638,PIJE,L,N,51.6,22,80,C,12.2,2.9,,1.7,,10,,N,N,,,,
_130,PostBurnYear1,2021,648,PIJE,L,N,45.55,15.4,60,I,10,1.75,,2.1,11.4,40,,N,N,,,,
_130,PostBurnYear1,2021,640,PIJE,L,N,46.1,20.8,80,C,13,2.75,,2.2,11.4,10,,N,N,,,,
_130,PostBurnYear1,2021,641,PIJE,L,N,56.4,25,100,C,14.4,3.1,,4.2,7.8,2,,N,N,,,,
_130,PostBurnYear1,2021,642,PIJE,D,N,79,14.2,,,,,5,14.2,,,,N,N,,,,
_130,PostBurnYear1,2021,643,PIJE,L,N,23.5,11.6,80,I,7.5,0.9,,1.4,7.5,20,,N,N,,,,
_130,PostBurnYear1,2021,644,QUKE,L,N,22.45,7.6,10,I,2.4,2,,0.15,7.4,80,,Y,N,,,,
_130,PostBurnYear1,2021,645,QUKE,L,N,27.9,8.2,70,I,2.4,3.1,,0.15,4.5,20,,Y,N,,,,
_130,PostBurnYear1,2021,646,QUKE,L,N,29.85,12.8,80,I,4,3.5,,0.2,4.5,2,,N,N,,,,
_130,PostBurnYear1,2021,647,QUKE,L,N,33.1,12.3,80,I,3.4,3.5,,0,2.4,5,,N,N,,,,
_130,PostBurnYear1,2021,649,PIJE,L,N,45.75,20.2,100,C,9,2.75,,1.8,6.2,1,,N,N,,,,
_131,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_131,PostBurnYear1,2021,674,QUKE,D,Y,36.5,14,,,,,1,3,14,40,60,N,Y,35,20,18,
_131,PostBurnYear1,2021,675,QUKE,D,Y,42.3,15,,,,,1,5,0,0,0,N,Y,35,20,18,
_131,PostBurnYear1,2021,676,PIJE,D,N,,,,,,,,,,,,N,N,,,,Fallen; cut-down.
_131,PostBurnYear1,2021,677,PIJE,L,N,37.3,14.2,5,I,10.4,0.25,,9.2,10.2,97,1,N,N,,,,New tag 965
_131,PostBurnYear1,2021,678,PIJE,D,N,19.8,8.8,,,,,1,4,8.8,100,0,N,N,,,,New tag 966
_131,PostBurnYear1,2021,679,PIJE,L,N,61,23,10,C,18,2,,12.6,21.2,90,1,N,N,,,,New tag 967
_131,PostBurnYear1,2021,680,QUKE,L,N,41.3,12,5,I,10,0.5,,3.8,10,90,5,N,Y,45,59,4,
_132,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_132,PostBurnYear1,2021,626,PIJE,D,N,16.95,8,,,,,1,2.2,2.2,98,2,N,N,,,,
_132,PostBurnYear1,2021,628,PIJE,L,N,71.6,26.8,20,C,20.5,2.25,,8.2,20.5,77,3,N,N,,,,
_132,PostBurnYear1,2021,630,PIJE,L,N,70.2,33.4,20,C,24.5,1.9,,9.4,24.4,70,10,N,N,,,,New tag 968
_133,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_133,PostBurnYear1,2021,682,QUKE,L,N,68.7,14.8,100,I,1,4.25,,0,0.5,0.5,0,N,N,,,,
_133,PostBurnYear1,2021,683,QUKE,L,N,38.85,10.4,100,I,0.5,3,,0,1.5,0.5,0,N,N,,,,
_133,PostBurnYear1,2021,684,QUKE,D,Y,9.85,5.9,,,,,1,2,5.9,95,5,N,Y,55,87.5,38,
_133,PostBurnYear1,2021,685,QUKE,D,Y,8.25,5.8,,,,,1,2.5,5.8,90,10,N,Y,55,87.5,38,
_133,PostBurnYear1,2021,687,PIJE,L,N,84.55,16.2,20,C,9.2,3.5,,0,0,0,0,N,N,,,,
_133,PostBurnYear1,2021,688,PIJE,L,N,75.65,25,100,C,13,4,,0,0,0,0,N,N,,,,
_134,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_134,PostBurnYear1,2021,740,PIJE,L,N,35.9,19,40,C,13.6,1.35,,7.4,13.4,60,2,N,N,,,,New tag 880
_134,PostBurnYear1,2021,741,QUKE,D,N,,,,,,,5,,,,0,N,N,,,,
