,MacroPlot.Name,Monitoring.Status,Date,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,SnagPlotSize,BrkPntDia,Species.Symbol,X,Year,Treatment,Visited,treatment_burn,experiment
1,_132,PreBurnYear1,8/19/20 17:07,626,L,17.6,8.5,90,S,2.1,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIJE_TSA,0.1,4.5,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
2,_132,PreBurnYear1,8/19/20 17:07,628,L,72.8,29.6,80,C,8,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,0,5.1,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
3,_132,PreBurnYear1,8/19/20 17:07,630,L,72.4,32,90,C,12.8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,0,1.1,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
4,_129,PreBurnYear1,8/19/20 17:07,605,L,54.7,24.8,90,C,8.8,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERWR_SM,1,3.4,NA,NA,PIJE,NA,yr1,treat1,NA,pre_budbreak,old
5,_129,PreBurnYear1,8/19/20 17:07,606,L,16.7,6.5,90,I,2.3,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,2.2,3,NA,NA,PIJE,NA,yr1,treat1,NA,pre_budbreak,old
6,_129,PreBurnYear1,8/19/20 17:07,608,L,47.2,24,90,C,15.8,NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERWR_SL,2.1,5.5,NA,NA,PIJE,NA,yr1,treat1,NA,pre_budbreak,old
7,_129,PreBurnYear1,8/19/20 17:07,609,L,52.4,26.6,100,C,10.6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,0,2,NA,NA,PIJE,NA,yr1,treat1,NA,pre_budbreak,old
8,_129,PreBurnYear1,8/19/20 17:07,610,L,81.9,22.6,80,I,1.4,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,0,0.4,NA,NA,QUKE,NA,yr1,treat1,NA,pre_budbreak,old
9,_129,PreBurnYear1,8/19/20 17:07,612,L,67.55,27.4,90,C,15.2,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,0,1,NA,NA,PIJE,NA,yr1,treat1,NA,pre_budbreak,old
10,_129,PreBurnYear1,8/19/20 17:07,614,L,8,6.5,90,S,2.5,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,0,1,NA,NA,QUKE,NA,yr1,treat1,NA,pre_budbreak,old
