"MacroPlot.Name","Monitoring.Status","Date","Index","IsVerified","QTR","SubFrac","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","UV3","MacroPlotSize","SnagPlotSize","BrkPntDia","FieldTeam","EntryTeam","UV1Desc","UV2Desc","UV3Desc","SaComment","Species.Symbol","Visited"
"_132","PostBurnYear1","8/30/2021 2:21:04 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True"
"_132","PostBurnYear1","8/30/2021 2:21:04 PM",-2147483648,"False",NA,1,626,"D",16.95,8,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_132","PostBurnYear1","8/30/2021 2:21:04 PM",-2147483647,"False",NA,1,628,"L",71.6,26.8,20,"C",20.5,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,20.5,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_132","PostBurnYear1","8/30/2021 2:21:04 PM",-2147483646,"False",NA,1,630,"L",70.2,33.4,20,"C",24.5,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,24.4,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New tag 968",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True"
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483648,"False",NA,1,605,"L",55.05,26,90,"C",7.6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483647,"False",NA,1,606,"L",16.75,6.8,100,"I",10,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483646,"False",NA,1,608,"L",47.7,24,100,"C",15.8,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483645,"False",NA,1,609,"L",52.75,28,100,"C",11,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483644,"False",NA,1,610,"L",81.6,24,90,"I",2.6,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483643,"False",NA,1,612,"L",67.6,28.4,90,"C",16,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483642,"False",NA,1,614,"L",8.35,6.6,100,"S",2.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483641,"False",NA,1,615,"L",7.85,6.6,100,"S",2.6,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483640,"False",NA,1,617,"L",56.9,26,100,"C",15,NA,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483639,"False",NA,1,622,"L",9.5,6.5,90,"I",1.5,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483638,"False",NA,1,623,"D",79.4,8.4,NA,"",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483637,"False",NA,1,624,"D",70.7,8.9,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
