MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_128,PostBurnYear1,8/30/2021 14:19,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_128,PostBurnYear1,8/30/2021 14:19,-2147483648,0.7,D,1,1.9,,1,,651,Y,Y,N,Y,74,50,8,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483647,0.55,D,1,1.9,,1,,654,Y,Y,N,Y,38,41,4,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483646,0.4,D,1,1.55,,1,,656,Y,Y,N,Y,25,26,1,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483645,3,D,1,3.4,,1,,658,Y,Y,N,Y,38,68,8,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483644,2.19,D,1,3,,1,,659,Y,Y,N,Y,69,77,9,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483643,0,D,1,,,1,,660,Y,Y,N,Y,55,70,9,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483642,0,D,1,,,1,,661,Y,Y,N,Y,23,36,8,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483641,4.6,D,1,4.1,,1,,662,Y,Y,N,Y,57,90,15,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483640,1.1,D,1,2.2,,1,,665,Y,Y,N,Y,79,56,6,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483639,0.85,D,1,1.8,,1,,666,Y,Y,N,Y,52,38,7,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483638,1.35,D,1,2.4,,1,,667,Y,Y,N,Y,73,75,13,,,,,,,,,,QUKE,
_128,PostBurnYear1,8/30/2021 14:19,-2147483637,0.95,D,1,2.3,,1,New tag 669,668,Y,Y,N,Y,58,39,9,,,,,,,,,,QUKE,
_129,PostBurnYear1,8/30/2021 14:19,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_129,PostBurnYear1,8/30/2021 14:19,-2147483648,1.2,D,1,2.2,,1,,604,Y,Y,N,Y,99,55,17,,,,,,,,,,QUKE,
