MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_152,PostBurnYear1,8/30/2021 14:15,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to plant,D. to CWD,neighbor,,TRUE
_152,PostBurnYear1,8/30/2021 14:15,-2147483648,3.1,L,1,2.4,,1,,202,N,Y,N,N,,,,,,,,,,,,,QUKE,
_153,PostBurnYear1,8/30/2021 14:16,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to plant,D. to CWD,neighbor,,TRUE
_153,PostBurnYear1,8/30/2021 14:16,-2147483648,7.4,L,1,4.1,,1,,172,N,N,N,N,,,,,,,,,,,,,QUKE,
_153,PostBurnYear1,8/30/2021 14:16,-2147483647,6.85,L,1,4.5,,1,,173,N,N,N,N,,,,,,,,,,,,,QUKE,
_156,PostBurnYear1,8/30/2021 14:17,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_156,PostBurnYear1,8/30/2021 14:17,-2147483648,3.6,L,1,3,,1,,164,N,N,N,N,,,,,,,,,,,,,QUKE,
_157,PostBurnYear1,8/30/2021 14:17,,,,,,,,,,,,,,,,,,,0.04,,,Tag #,D. to Plant,D. to CWD,neighbor,,TRUE
_157,PostBurnYear1,8/30/2021 14:17,-2147483648,1.5,L,1,2.3,,1,,143,N,Y,N,N,,,,,,,,,,,,,QUKE,
_157,PostBurnYear1,8/30/2021 14:17,-2147483647,2.05,L,1,2.3,,1,,144,N,Y,N,N,,,,,,,,,,,,,QUKE,
_157,PostBurnYear1,8/30/2021 14:17,-2147483646,2.85,L,1,3,,1,,145,N,Y,N,N,,,,,,,,,,,,,QUKE,
_157,PostBurnYear1,8/30/2021 14:17,-2147483645,4.8,L,1,4.5,,1,,149,N,Y,N,N,,,,,,,,,,,,,QUKE,
_157,PostBurnYear1,8/30/2021 14:17,-2147483644,4.65,L,1,4,,1,,150,N,Y,N,N,,,,,,,,,,,,,QUKE,
_158,PostBurnYear1,8/30/2021 14:18,,,,,,,,,,,,,,,,,,,0.04,,,Tag #,D. to Plant,D. to CWD,neighbor,,TRUE
_158,PostBurnYear1,8/30/2021 14:18,-2147483648,7.2,L,1,3,,1,,111,N,N,N,N,,,,,,,,,,,,,PIJE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483647,4.2,Ll,1,2,,1,,112,N,N,N,N,,,,,,,,,,,,,PIJE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483646,5.65,L,1,3.2,,1,,115,N,N,N,N,,,,,,,,,,,,,PIJE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483645,2.9,L,1,2.1,,1,,122,N,N,N,N,,,,,,,,,,,,,PIJE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483644,6.3,L,1,5,,1,,125,N,N,N,N,,,,,,,,,,,,,QUKE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483643,3.2,L,1,2.2,,1,,126,N,N,N,N,,,,,,,,,,,,,QUKE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483642,3.5,L,1,2.4,,1,,128,N,N,N,N,,,,,,,,,,,,,QUKE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483641,1.4,L,1,2.1,,1,,129,N,N,N,N,,,,,,,,,,,,,QUKE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483640,4.9,L,1,4.3,,1,,130,N,N,N,N,,,,,,,,,,,,,QUKE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483639,0.5,L,1,1.6,,1,,132,N,N,N,N,,,,,,,,,,,,,QUKE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483638,1.55,L,1,2.1,,1,,137,N,N,N,N,,,,,,,,,,,,,QUKE,
_158,PostBurnYear1,8/30/2021 14:18,-2147483637,5.15,L,1,2.2,,1,,136,N,N,N,N,,,,,,,,,,,,,PIJE,
_190,PostBurnYear1,9/26/2022 11:06,,,,,,,,,,,,,,,,,,,0.04,,,tag,,,,,TRUE
_190,PostBurnYear1,9/26/2022 11:06,-2147483648,1.8,L,1,2.1,,1,,233,N,Y,N,N,,,,,,,,,,,,,QUKE,
_190,PostBurnYear1,9/26/2022 11:06,-2147483647,7.2,L,1,4.1,,1,,234,N,Y,N,N,,,,,,,,,,,,,QUKE,
_190,PostBurnYear1,9/26/2022 11:06,-2147483646,3.6,L,1,3.2,,1,,235,N,Y,N,N,,,,,,,,,,,,,QUKE,
_190,PostBurnYear1,9/26/2022 11:06,-2147483645,2.4,L,1,2.4,,1,,237,N,Y,N,N,,,,,,,,,,,,,QUKE,
_190,PostBurnYear1,9/26/2022 11:06,-2147483644,1.95,L,1,2.2,,1,,239,N,Y,N,N,,,,,,,,,,,,,QUKE,
_191,PostBurnYear1,9/26/2022 11:07,,,,,,,,,,,,,,,,,,,0.04,,,tag,,,,,TRUE
_191,PostBurnYear1,9/26/2022 11:07,-2147483648,2.3,L,1,2.4,,1,,248,N,N,N,N,,,,,,,,,,,,,QUKE,
_191,PostBurnYear1,9/26/2022 11:07,-2147483647,7.6,L,1,4.2,,1,,249,N,Y,N,N,,,,,,,,,,,,,QUKE,
_191,PostBurnYear1,9/26/2022 11:07,-2147483646,8.05,L,1,5.3,,1,,250,N,Y,N,N,,,,,,,,,,,,,QUKE,
_152,PostBurnYear2,9/26/2022 11:02,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to plant,D. to CWD,neighbor,,TRUE
