"","macro_plot_name","monitoring_status","date","size_cl_dia","status","avg_ht","comment","tag_no","top_kill_y_n","resprout_y_n","epicormic_resprout_y_n","basal_resprout_y_n","basal_resprout_height_cm","basal_resprout_width_cm","basal_resprout_count","uv2","uv3","uv1desc","uv2desc","uv3desc","sa_comment","species_symbol","treatment_burn","experiment"
"1","_128","PostBurnYear1","8/30/2021 14:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"2","_128","PostBurnYear1","8/30/2021 14:19",0.7,"D",1.9,NA,651,"Y","Y","N","Y",74,50,8,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"3","_128","PostBurnYear1","8/30/2021 14:19",0.55,"D",1.9,NA,654,"Y","Y","N","Y",38,41,4,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"4","_128","PostBurnYear1","8/30/2021 14:19",0.4,"D",1.55,NA,656,"Y","Y","N","Y",25,26,1,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"5","_128","PostBurnYear1","8/30/2021 14:19",3,"D",3.4,NA,658,"Y","Y","N","Y",38,68,8,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"6","_128","PostBurnYear1","8/30/2021 14:19",2.19,"D",3,NA,659,"Y","Y","N","Y",69,77,9,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"7","_128","PostBurnYear1","8/30/2021 14:19",0,"D",NA,NA,660,"Y","Y","N","Y",55,70,9,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"8","_128","PostBurnYear1","8/30/2021 14:19",0,"D",NA,NA,661,"Y","Y","N","Y",23,36,8,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"9","_128","PostBurnYear1","8/30/2021 14:19",4.6,"D",4.1,NA,662,"Y","Y","N","Y",57,90,15,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"10","_128","PostBurnYear1","8/30/2021 14:19",1.1,"D",2.2,NA,665,"Y","Y","N","Y",79,56,6,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"11","_128","PostBurnYear1","8/30/2021 14:19",0.85,"D",1.8,NA,666,"Y","Y","N","Y",52,38,7,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"12","_128","PostBurnYear1","8/30/2021 14:19",1.35,"D",2.4,NA,667,"Y","Y","N","Y",73,75,13,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"13","_128","PostBurnYear1","8/30/2021 14:19",0.95,"D",2.3,"New tag 669",668,"Y","Y","N","Y",58,39,9,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"14","_129","PostBurnYear1","8/30/2021 14:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"pre_budbreak","old"
"15","_129","PostBurnYear1","8/30/2021 14:19",1.2,"D",2.2,NA,604,"Y","Y","N","Y",99,55,17,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"16","_129","PostBurnYear1","8/30/2021 14:19",0.45,"D",1.65,NA,607,"Y","N","N","Y",37,52,5,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"17","_129","PostBurnYear1","8/30/2021 14:19",0.45,"D",1.6,NA,611,"Y","N","N","Y",60,55,10,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"18","_129","PostBurnYear1","8/30/2021 14:19",1.4,"D",2.4,NA,613,"Y","N","N","Y",59,52,8,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"19","_129","PostBurnYear1","8/30/2021 14:19",7.05,"L",5.5,NA,616,"N","N","Y","Y",6,12,1,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"20","_129","PostBurnYear1","8/30/2021 14:19",4.4,"L",4,NA,618,"N","N","Y","Y",4,6,1,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"21","_129","PostBurnYear1","8/30/2021 14:19",1.55,"D",2.4,NA,619,"Y","N","N","Y",73,46,5,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"22","_129","PostBurnYear1","8/30/2021 14:19",7.1,"L",4.5,NA,620,"N","N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"23","_129","PostBurnYear1","8/30/2021 14:19",0,"D",NA,"Trunk with tag on ground; can't tell where it came from. Therefore cannot measure or tell if theres resprout.",621,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"24","_130","PostBurnYear1","8/30/2021 14:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"25","_130","PostBurnYear1","8/30/2021 14:20",0.8,"D",1.5,NA,639,"Y","Y","N","Y",32,30,4,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"26","_131","PostBurnYear1","8/30/2021 14:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"27","_131","PostBurnYear1","8/30/2021 14:20",3.3,"D",2.1,NA,673,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"28","_132","PostBurnYear1","8/30/2021 14:21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"29","_132","PostBurnYear1","8/30/2021 14:21",4.75,"D",2.1,NA,625,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"30","_132","PostBurnYear1","8/30/2021 14:21",6.7,"D",3,NA,627,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"31","_132","PostBurnYear1","8/30/2021 14:21",3.45,"D",2,NA,629,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"32","_132","PostBurnYear1","8/30/2021 14:21",0,"D",NA,"not a tree; maybe coffee berry? Fully burned; resprouting.",631,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRTE","post_budbreak","old"
"33","_133","PostBurnYear1","8/30/2021 14:21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"34","_133","PostBurnYear1","8/30/2021 14:21",4.35,"D",2.9,NA,686,"Y","Y","N","Y",105,126,33,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"35","_128","PostBurnYear2","9/26/2022 11:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"36","_128","PostBurnYear2","9/26/2022 11:08",0.7,"L",1.6,"Resprout from dead trees.",671,"N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"37","_128","PostBurnYear2","9/26/2022 11:08",0.7,"L",1.8,"Resprout from dead trees.",672,"N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"38","_128","PostBurnYear2","9/26/2022 11:08",0.7,"D",1.8,NA,651,"Y","Y","N","Y",135,112,4,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"39","_128","PostBurnYear2","9/26/2022 11:08",0.65,"D",1.8,NA,654,"Y","Y","N","Y",85,70,4,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"40","_128","PostBurnYear2","9/26/2022 11:08",0.4,"D",1.5,NA,656,"Y","Y","N","Y",59,74,1,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"41","_128","PostBurnYear2","9/26/2022 11:08",2.8,"D",3.2,NA,658,"Y","Y","N","Y",97,107,8,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"42","_128","PostBurnYear2","9/26/2022 11:08",2,"D",3,NA,659,"Y","Y","N","Y",110,123,9,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"43","_128","PostBurnYear2","9/26/2022 11:08",0,"D",NA,"Stalk burned",660,"Y","Y","N","Y",108,176,10,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"44","_128","PostBurnYear2","9/26/2022 11:08",0,"D",NA,"Stalk burned",661,"Y","Y","N","Y",85,80,8,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"45","_128","PostBurnYear2","9/26/2022 11:08",4.7,"D",3,NA,662,"Y","Y","N","Y",129,127,11,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"46","_128","PostBurnYear2","9/26/2022 11:08",1.2,"D",2.1,NA,665,"Y","Y","N","Y",120,105,6,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"47","_128","PostBurnYear2","9/26/2022 11:08",0.8,"D",1.8,NA,666,"Y","Y","N","Y",100,73,5,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"48","_128","PostBurnYear2","9/26/2022 11:08",0.5,"L",1.52,NA,667,"N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"49","_128","PostBurnYear2","9/26/2022 11:08",0.95,"D",2.1,NA,669,"Y","Y","N","Y",102,126,6,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"50","_129","PostBurnYear2","9/26/2022 11:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"pre_budbreak","old"
"51","_129","PostBurnYear2","9/26/2022 11:09",1.4,"D",2.2,NA,604,"Y","Y","N","Y",80,99,13,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"52","_129","PostBurnYear2","9/26/2022 11:09",0.5,"D",1.5,NA,607,"Y","N","N","Y",84,50,5,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"53","_129","PostBurnYear2","9/26/2022 11:09",0.7,"D",1.65,NA,611,"Y","N","N","Y",70,67,9,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
