"","...1","MacroPlot.Name","monitoring_status","ton_acre_1hr","ton_acre_10hr","ton_acre_100hr","ton_acre_1_100hr","sound_1000hr","rotten_1000hr","ton_acre_1_1000hr","duff_tons_acre","litter_tons_acre","total_tons_acre","duff_in","litt_in","duff_litter_in","treatment_burn","experiment"
"1",67,"_150","PreBurn",0.18,1.53,0,1.71,7.99,0,9.7,7.37,2.46,19.52,0.7,0.5,1.2,"control","old"
"2",105,"_152","PreBurn",0.33,1.81,0.55,2.69,0,0,2.69,15.23,4.18,22.09,1.5,0.8,2.4,"control","old"
"3",108,"_153","PreBurn",0.16,1.11,4.98,6.26,14.47,51.57,72.3,5.9,2.21,80.4,0.6,0.4,1,"control","old"
"4",111,"_154","PreBurn",0.65,11.99,2.78,15.41,21.68,0,37.1,5.9,4.18,47.17,0.6,0.8,1.4,"control","old"
"5",114,"_156","PreBurn",0.14,1.25,0.55,1.95,0,0,1.95,16.21,4.42,22.58,1.6,0.9,2.5,"control","old"
"6",117,"_157","PreBurn",0.12,0.98,1.67,2.77,0,0,2.77,3.44,4.67,10.87,0.3,0.9,1.3,"control","old"
"7",120,"_158","PreBurn",0.28,1.53,1.11,2.92,0,1.32,4.24,12.77,7.61,24.62,1.3,1.5,2.8,"control","old"
"8",1,"_128","PreBurn",0.07,1.53,1.11,2.71,0,0,2.71,11.79,10.56,25.06,1.2,2.1,3.3,"leafout_burn","old"
"9",7,"_130","PreBurn",0,0.56,0.55,1.11,24.51,0,25.62,5.9,8.84,40.36,0.6,1.8,2.4,"leafout_burn","old"
"10",10,"_131","PreBurn",0.15,1.4,0,1.54,4.24,6.35,12.13,9.17,9.83,31.12,0.9,2,2.9,"leafout_burn","old"
"11",13,"_132","PreBurn",0.08,1.53,1.66,3.27,0,0,3.27,6.88,2.95,13.1,0.7,0.6,1.3,"leafout_burn","old"
"12",16,"_133","PreBurn",0.32,2.38,8.33,11.03,32.84,1.72,45.59,17.69,7.61,70.89,1.8,1.5,3.3,"leafout_burn","old"
"13",37,"_140","PreBurn",0.1,3.36,1.67,5.13,0,0,5.13,5.9,2.46,13.48,0.6,0.5,1.1,"leafout_burn","old"
"14",40,"_141","PreBurn",0.13,0.42,0.56,1.11,0,1.05,2.16,10.32,3.93,16.41,1,0.8,1.8,"leafout_burn","old"
"15",43,"_142","PreBurn",0.06,1.27,0.55,1.88,0,0,1.88,9.33,2.7,13.92,0.9,0.5,1.5,"leafout_burn","old"
"16",46,"_143","PreBurn",0.4,1.67,0,2.07,15.44,0,17.51,12.28,4.42,34.22,1.2,0.9,2.1,"leafout_burn","old"
"17",49,"_144","PreBurn",0.14,0.28,0.56,0.97,0,0,0.97,6.39,3.19,10.55,0.6,0.6,1.3,"leafout_burn","old"
"18",52,"_145","PreBurn",0.29,0.42,1.11,1.82,2.94,0,4.76,5.4,2.95,13.11,0.5,0.6,1.1,"leafout_burn","old"
"19",4,"_129","PreBurn",0.12,0.56,0,0.68,0,3.36,4.04,25.55,5.9,35.48,2.6,1.2,3.7,"dormant_burn","old"
"20",19,"_134","PreBurn",0.18,1.42,2.83,4.43,2.19,0,6.61,18.18,6.88,31.67,1.8,1.4,3.2,"dormant_burn","old"
"21",22,"_135","PreBurn",0.11,1,0.56,1.67,0,0,1.67,10.81,6.63,19.11,1.1,1.3,2.4,"dormant_burn","old"
"22",25,"_136","PreBurn",0.17,0.98,1.11,2.25,21.99,0,24.24,3.93,3.19,31.37,0.4,0.6,1,"dormant_burn","old"
"23",28,"_137","PreBurn",0.2,1.26,5.05,6.52,4.35,0,10.86,3.44,2.51,16.81,0.3,0.5,0.8,"dormant_burn","old"
"24",31,"_138","PreBurn",0.27,2.66,3.9,6.83,0,2.21,9.03,4.91,3.44,17.38,0.5,0.7,1.2,"dormant_burn","old"
"25",34,"_139","PreBurn",0.25,2.23,0.55,3.03,0,0,3.03,15.23,4.91,23.17,1.5,1,2.5,"dormant_burn","old"
"26",55,"_146","PreBurn",0.29,1.53,1.66,3.49,0.79,0,4.28,15.23,3.68,23.19,1.5,0.7,2.3,"dormant_burn","old"
"27",58,"_147","PreBurn",0.34,0,0,0.34,0,0,0.34,3.93,2.21,6.48,0.4,0.4,0.8,"dormant_burn","old"
"28",61,"_148","PreBurn",0.12,2.25,0.56,2.92,0,0,2.92,12.28,4.91,20.12,1.2,1,2.2,"dormant_burn","old"
"29",64,"_149","PreBurn",0.18,0.56,6.09,6.83,0,0,6.83,19.65,3.68,30.17,2,0.7,2.7,"dormant_burn","old"
